Feature_ID,Taxon,Confidence
OTU1,D_0__Fungi;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Incertae sedis;D_5__Nadsonia;D_6__Nadsonia commutata,1.0
OTU2,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU3,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella oligospora,1.0
OTU4,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__ ,1.0
OTU5,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Filobasidiales;D_4__Piskurozymaceae;D_5__Solicoccozyma;D_6__ ,1.0
OTU6,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella sarnyensis,1.0
OTU7,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_5__Cladorrhinum;D_6__ ,1.0
OTU8,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Filobasidiales;D_4__Piskurozymaceae;D_5__Solicoccozyma;D_6__Solicoccozyma terricola,1.0
OTU9,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__ ,1.0
OTU10,D_0__Fungi;D_1__Ascomycota;D_2__Saccharomycetes;D_3__Saccharomycetales;D_4__Incertae sedis;D_5__Nadsonia;D_6__ ,1.0
OTU11,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU12,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_6__ ,1.0
OTU13,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_6__ ,1.0
OTU14,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_5__Plectosphaerella;D_6__Plectosphaerella cucumerina,1.0
OTU15,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Pleosporaceae;D_5__Alternaria;D_6__ ,1.0
OTU16,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_6__ ,1.0
OTU17,D_0__Fungi;D_6__ ,1.0
OTU18,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Capnodiales;D_4__Cladosporiaceae;D_5__Cladosporium;D_6__ ,1.0
OTU19,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascobolaceae;D_5__Ascobolus;D_6__ ,1.0
OTU20,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU21,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__Mortierella hyalina,1.0
OTU22,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Sporormiaceae;D_5__Westerdykella;D_6__Westerdykella dispersa,1.0
OTU23,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU24,D_0__Fungi;D_1__Mortierellomycota;D_2__Mortierellomycetes;D_3__Mortierellales;D_4__Mortierellaceae;D_5__Mortierella;D_6__ ,1.0
OTU25,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__Fusarium solani,1.0
OTU26,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Didymellaceae;D_6__ ,1.0
OTU27,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Eurotiales;D_4__Thermoascaceae;D_5__Byssochlamys;D_6__ ,1.0
OTU28,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Eurotiales;D_4__Thermoascaceae;D_5__Byssochlamys;D_6__ ,1.0
OTU29,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Capnodiales;D_4__Cladosporiaceae;D_5__Cladosporium;D_6__ ,1.0
OTU30,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_5__Plectosphaerella;D_6__Plectosphaerella cucumerina,1.0
OTU31,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Chaetomiaceae;D_6__ ,1.0
OTU32,D_0__Fungi;D_1__Basidiomycota;D_2__Microbotryomycetes;D_3__Leucosporidiales;D_6__ ,1.0
OTU33,D_0__Fungi;D_6__ ,1.0
OTU34,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Trichosporonales;D_4__Trichosporonaceae;D_6__ ,1.0
OTU35,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_5__Plectosphaerella;D_6__Plectosphaerella cucumerina,1.0
OTU36,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascobolaceae;D_5__Ascobolus;D_6__ ,1.0
OTU37,D_0__Fungi;D_1__Basidiomycota;D_2__Agaricomycetes;D_3__Cantharellales;D_4__Incertae sedis;D_5__Minimedusa;D_6__Minimedusa polyspora,1.0
OTU38,D_0__Fungi;D_1__Ascomycota;D_6__ ,1.0
OTU39,D_0__Fungi;D_6__ ,1.0
OTU40,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU41,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU42,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Glomerellales;D_4__Plectosphaerellaceae;D_6__ ,1.0
OTU43,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_6__ ,1.0
OTU44,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU45,D_0__Fungi;D_1__Ascomycota;D_2__Orbiliomycetes;D_3__Orbiliales;D_4__Orbiliaceae;D_5__Arthrobotrys;D_6__Arthrobotrys oligospora,1.0
OTU46,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Rhizopodaceae;D_5__Rhizopus;D_6__Rhizopus arrhizus,1.0
OTU47,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Helotiales;D_4__Myxotrichaceae;D_5__Oidiodendron;D_6__ ,1.0
OTU48,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Onygenales;D_4__Arthrodermataceae;D_6__ ,1.0
OTU49,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU50,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascobolaceae;D_5__Ascobolus;D_6__ ,1.0
OTU51,D_0__Fungi;D_1__Mucoromycota;D_2__Mucoromycetes;D_3__Mucorales;D_4__Mucoraceae;D_5__Mucor;D_6__Mucor circinelloides,1.0
OTU52,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_6__ ,1.0
OTU53,D_0__Fungi;D_1__Ascomycota;D_2__Pezizomycetes;D_3__Pezizales;D_4__Ascodesmidaceae;D_5__Cephaliophora;D_6__ ,1.0
OTU54,D_0__Fungi;D_1__Ascomycota;D_2__Leotiomycetes;D_3__Thelebolales;D_4__Pseudeurotiaceae;D_5__Pseudeurotium;D_6__ ,1.0
OTU55,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_4__Nectriaceae;D_5__Fusarium;D_6__ ,1.0
OTU56,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_5__Podospora;D_6__ ,1.0
OTU57,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Sordariaceae;D_6__ ,1.0
OTU58,D_0__Fungi;D_6__ ,1.0
OTU59,D_0__Fungi;D_6__ ,1.0
OTU60,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU61,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Sordariales;D_4__Lasiosphaeriaceae;D_6__ ,1.0
OTU62,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_6__ ,1.0
OTU63,D_0__Fungi;D_1__Ascomycota;D_2__Dothideomycetes;D_3__Pleosporales;D_4__Sporormiaceae;D_5__Westerdykella;D_6__ ,1.0
OTU64,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Microascales;D_4__Microascaceae;D_5__Scedosporium;D_6__Scedosporium boydii,1.0
OTU65,D_0__Fungi;D_1__Ascomycota;D_2__Eurotiomycetes;D_3__Chaetothyriales;D_4__Herpotrichiellaceae;D_5__Exophiala;D_6__ ,1.0
OTU66,D_0__Fungi;D_6__ ,1.0
OTU67,D_0__Fungi;D_1__Ascomycota;D_2__Sordariomycetes;D_3__Hypocreales;D_6__ ,1.0
OTU68,D_0__Fungi;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Trichosporonales;D_4__Trichosporonaceae;D_6__ ,1.0
