Sample_ID,K_treatment.x,K_type.x,K_treatment_ENG.x,P_fungi,P_bacteria,P_PMN,P_HWC,P_ergosterol.old,P_CN.product,P_resp.product,P_N.t,P_C.N,P_N.a,P_P.a,P_P.t,P_K.a,P_K.t,P_S.t,P_S.a,P_Mg.t,P_Na.t,P_B.t,P_Cu.a,P_Mn.t,P_Co.a,P_Zn.a,P_pH,P_CaCO3,P_OM,P_CEC,P_Se.a,P_Ca.a,P_Ca.t,P_silt,P_sand,P_silica,P_Mo.a,P_ergosterol,Y_rs.dis
16S..2016.A01.S1,controle,control,control,25.7,20.4,3.6,346,2.621953231,,,530,21,15,2.3,23,35,1.3,250,17,26,6,81,21,250,2.6,180,7.1,0.7,1.9,45,2.1,29,2940,3,94,6690,4,,20
16S.2017.A01.S1,controle,control,control,8.4,15.6,6,361,,,,640,14,32,1.8,35,16,1.1,260,20,20,6,92,24,250,2.6,100,7.2,4.6,1.5,47,2.1,29,3185,3,90,9270,4,,22
16S.2016.A02.S2,controle,control,control,39.6,8.2,1.9,354,4.537351938,,,620,19,21,2.3,27,40,1.4,280,20,26,5,83,21,250,2.6,150,7.2,0.9,2,49,2.1,28,3250,5,92,7030,4,,19
16S.2017.A02.S2,KeraproSon,keratin,KeraproSon,15.1,12.9,26.4,414,,3.4,27.6,850,10,53,1.4,35,20,1.3,230,17,20,6,84,66,630,2.6,120,7.5,4.4,1.4,46,2.1,233,3125,1,92,8500,4,,13
16S.2016.A03.S3,controle,control,control,26.3,13.5,0.7,366,2.509957464,,,590,19,20,2.5,26,36,1.7,230,15,23,6,76,21,250,2.6,190,7.1,0.8,1.9,48,2.1,29,3110,3,94,8140,4,,18
16S.2017.A03.S3,Biophosphate,manure,Biophosphate,10.8,8.3,27.9,534,,15.4,10.4,700,14,36,28.7,71,102,1.9,190,12,123,34,186,38,290,2.6,160,7,4.5,1.7,41,2.1,115,2370,2,92,8680,4,,19
16S.2016.A04.S4,controle,control,control,26.1,12.4,2.5,362,2.014106945,,,580,20,19,2.4,24,36,1.7,260,17,24,6,76,21,250,2.6,170,7.2,0.8,2,48,2.1,28,3145,4,93,7280,4,,20
16S.2017.A04.S4,GFTcompost,plant,Compost-1,7.2,12.6,12.9,457,,12,6.8,810,9,58,4.5,42,129,1.7,240,19,36,27,153,100,430,4,230,7,4.1,1.3,47,2.1,263,2915,2,93,15170,8,,15
16S.2016.A05.S5,fase3eind,manure-chitin,Mushroom_compost,109,30.7,41.2,834,14.32970622,13.5,35.4,560,19,19,8.1,29,279,3.3,780,45,49,33,141,102,1350,5.8,430,6.8,0.6,1.8,51,4.4,1604,3195,0,98,11120,4,,2
16S.2017.A05.S5,fase3eind,manure-chitin,Mushroom_compost,38.8,16.5,26.3,662,,15.5,26,970,8,73,5.5,40,203,2,290,23,41,26,101,97,560,2.6,210,7.5,5.5,1.4,47,2.3,727,2980,0,93,10100,9,,12
16S.2016.A06.S6,fase3eind,manure-chitin,Mushroom_compost,92.5,19,46.8,494,11.28249653,13.5,35.4,850,16,38,6.8,30,241,3.3,490,38,46,30,122,79,800,3.8,350,6.7,1.1,2.4,53,2.6,1402,3170,4,93,11270,4,,1
16S.2017.A06.S6,biomassavers,plant,Biomass,12.8,11.4,19.8,426,,25,9.8,860,10,57,1.9,35,88,1.4,310,25,23,11,76,42,440,2.6,130,7.2,5.3,1.5,42,2.1,29,2680,0,93,10280,4,,15
16S.2016.A07.S1,fase3eind,manure-chitin,Mushroom_compost,171.3,7.7,46.3,624,13.20792569,13.5,35.4,780,13,44,7.8,33,282,4.2,410,34,53,35,145,118,1240,4.6,350,6.8,0.5,1.8,52,4.6,1404,3060,4,94,8620,6,,0
16S.2017.A07.S1,controle,control,control,6.8,13.3,12.7,669,,,,1230,19,40,1.3,43,76,2,220,6,164,7,96,21,250,2.6,480,5.6,0.2,4,64,2.1,186,3315,11,85,3020,4,,17
16S.2016.A08.S2,fase3eind,manure-chitin,Mushroom_compost,184.3,21.5,36.7,830,15.41620638,13.5,35.4,850,14,44,5.9,32,223,3.3,480,39,40,26,86,158,1600,6.4,350,6.9,1.5,2.1,52,5.5,1417,3200,2,94,8840,5,,1
16S.2017.A08.S2,KeraproSon,keratin,KeraproSon,11.5,8.6,22.9,630,,3.4,27.6,1190,19,39,1.6,43,39,1.6,200,4,122,7,110,25,1590,6.1,2280,5.2,0.2,3.9,52,2.1,346,2730,7,88,3020,4,,8
16S.2016.A09.S3,Biophosphate,manure,Biophosphate,25.7,19.1,36.8,911,6.927959968,15.9,13.1,1550,18,55,11.8,95,180,3.6,260,6,236,61,298,20,840,2.6,1140,5.9,0.2,4.9,85,2.1,361,3930,9,86,3020,4,,16
