fungal_Sample_ID,bacterial_Sample_ID
VITS.A.1,V.16S.A.1
VITS.A.10,V.16S.A.10
VITS.A.2,V.16S.A.2
VITS.A.3,V.16S.A.3
VITS.A.4,V.16S.A.4
VITS.A.5,V.16S.A.5
VITS.A.6,V.16S.A.6
VITS.A.7,V.16S.A.7
VITS.A.8,V.16S.A.8
VITS.A.9,V.16S.A.9
VITS.B.1,V.16S.B.1
VITS.B.10,V.16S.B.10
VITS.B.2,V.16S.B.2
VITS.B.3,V.16S.B.3
VITS.B.4,V.16S.B.4
VITS.B.5,V.16S.B.5
VITS.B.6,V.16S.B.6
VITS.B.7,V.16S.B.7
VITS.B.8,V.16S.B.8
VITS.B.9,V.16S.B.9
VITS.C.1,V.16S.C.1
VITS.C.10,V.16S.C.10
VITS.C.2,V.16S.C.2
VITS.C.3,V.16S.C.3
VITS.C.4,V.16S.C.4
VITS.C.5,V.16S.C.5
VITS.C.6,V.16S.C.6
VITS.C.7,V.16S.C.7
VITS.C.8,V.16S.C.8
VITS.C.9,V.16S.C.9
VITS.D.1,V.16S.D.1
VITS.D.10,V.16S.D.10
VITS.D.2,V.16S.D.2
VITS.D.3,V.16S.D.3
VITS.D.4,V.16S.D.4
VITS.D.5,V.16S.D.5
VITS.D.6,V.16S.D.6
VITS.D.7,V.16S.D.7
VITS.D.8,V.16S.D.8
VITS.D.9,V.16S.D.9
VITS.E.1,V.16S.E.1
VITS.E.10,V.16S.E.10
VITS.E.2,V.16S.E.2
VITS.E.3,V.16S.E.3
VITS.E.4,V.16S.E.4
VITS.E.5,V.16S.E.5
VITS.E.6,V.16S.E.6
VITS.E.7,V.16S.E.7
VITS.E.8,V.16S.E.8
VITS.E.9,V.16S.E.9
VITS.F.1,V.16S.F.1
VITS.F.10,V.16S.F.10
VITS.F.2,V.16S.F.2
VITS.F.3,V.16S.F.3
VITS.F.4,V.16S.F.4
VITS.F.5,V.16S.F.5
VITS.F.6,V.16S.F.6
VITS.F.7,V.16S.F.7
VITS.F.8,V.16S.F.8
VITS.F.9,V.16S.F.9
VITS.G.1,V.16S.G.1
VITS.G.10,V.16S.G.10
VITS.G.2,V.16S.G.2
VITS.G.3,V.16S.G.3
VITS.G.4,V.16S.G.4
VITS.G.5,V.16S.G.5
VITS.G.6,V.16S.G.6
VITS.G.7,V.16S.G.7
VITS.G.8,V.16S.G.8
VITS.G.9,V.16S.G.9
VITS.H.1,V.16S.H.1
VITS.H.10,V.16S.H.10
VITS.H.2,V.16S.H.2
VITS.H.3,V.16S.H.3
VITS.H.4,V.16S.H.4
VITS.H.5,V.16S.H.5
VITS.H.6,V.16S.H.6
VITS.H.7,V.16S.H.7
VITS.H.8,V.16S.H.8
VITS.H.9,V.16S.H.9
