Feature_ID,ASV,Taxon,Confidence
0020fbc2540663800000143cd9ac2769,ASV1,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus,0.999695878
0089a16277c97bc75040e5d3c4786125,ASV2,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified,0.906423817
0091b1248192e0ec2d4b52c6a27a34bd,ASV3,k__Fungi,0.942590511
00a1cebeff7a403f3ddca73b43b86bfa,ASV4,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__unidentified,0.997666738
00d1cdd827b42da8ec70a9646de503b4,ASV5,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.755909224
0137217cad28599d669dafa3dd7a4e8f,ASV6,k__Fungi,0.71433095
014f1a125511813fbd87a7550da0eb68,ASV7,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.996598515
0171c6cf3e259273450ae2f580f9f68a,ASV8,k__Fungi,0.744409375
01b634d7c2c90fa9ac45b9362a0fc385,ASV9,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Homophron;s__Homophron_spadiceum,0.735161998
01c02263431d354a1a559f2ba89b4f02,ASV10,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified,0.9953014
020aa5990bdb48c3060364a0a56b812f,ASV11,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascodesmidaceae;g__Cephaliophora;s__unidentified,0.790923387
025f3bb83fc77a3627ad707f9dbd7256,ASV12,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Sarocladium;s__Sarocladium_strictum,0.999999338
02928bdade7019381fbee20132624284,ASV13,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae,0.933968199
02ab5c13ccaae680973b1432a2c7f143,ASV14,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales,0.999991923
02c5eefb52950470c332a36dbc43416d,ASV15,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.761468175
02e3d7841fdd9b9a56af1d9b1bdd2dd7,ASV16,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Cylindrocarpon;s__unidentified,0.997511125
031307d71714b0f60bb9b373f66c6870,ASV17,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae,0.705586012
03373802bfcbbcf13a12e406ae2e61bc,ASV18,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae,0.959817813
03470f6285606a451fd1ce04b9bd918d,ASV19,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Exidiaceae;g__unidentified;s__unidentified,0.972443847
037bdc1b2a78fcc9d1a84debca8e9735,ASV20,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified,0.999772284
039b0ca290d0f7dc0794a69c8bad04cd,ASV21,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Phaffomycetaceae;g__Wickerhamomyces;s__Wickerhamomyces_ciferrii,0.736502897
03abbc234fe9b8faa54e58347b03d9a8,ASV22,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Chrysosporium;s__Chrysosporium_europae,1
03ff7470097bea71d74b0c7bd01fc644,ASV23,k__Fungi,0.818568795
0400b37e708623c6e619ac321b2bd69f,ASV24,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Apiotrichum;s__Apiotrichum_dulcitum,0.953004081
0443facd617c130203a27b33752c5ad1,ASV25,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella,0.999122147
0455e2b3b5398a81253975d24594b899,ASV26,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;s__unidentified,0.980390083
045b42220eabdf2c009e9ad81b1ba9d2,ASV27,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_oligospora,0.999849841
04b9aa2e51b55bd574ead4081f8ee739,ASV28,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__unidentified;s__unidentified,0.960893681
04c8d8f25417163b710d08ce65040bc8,ASV29,k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae,1
053391a418aab5fb30f687437d150696,ASV30,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__unidentified,0.913466449
05bac9a4efdace58f175553ee3550db4,ASV31,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Waitea;s__unidentified,0.999092656
05be7ddb74131c6737b2585748a80084,ASV32,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;s__Peziza_fimeti,0.987864384
05cc054532ae2cade2cd11b164524e8f,ASV33,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Piskurozyma;s__unidentified,1
05d68c29a01e3d3b0bf276868a80b84b,ASV34,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola;s__Parasola_misera,0.999999997
05f9c079f1cae99cd766556dbe9f0211,ASV35,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_dichromosporum,0.939017921
05ffca8435cccebd10e3a51b6b684055,ASV36,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_pleuroticola,0.893917655
060a460159338c614b43580b6fb54d76,ASV37,k__Fungi,0.919127182
060ddb28bee2c698fba9a814aee110db,ASV38,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_chernovii,0.996911279
069a4a6a625c08144dff6f95fdf71866,ASV39,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.991989087
06d6924a7dc6c1cdc7b3c862e2e6306b,ASV40,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,0.942366273
06dcc996d1517e4e0a229f477f6d3e2d,ASV41,k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified,0.813557704
0718b18e90fc00228bc9510aeec63f75,ASV42,k__Fungi,0.789771757
07281959191f658c79aaa168272a2df0,ASV43,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__unidentified,0.999999536
079f3757e9336e6e059b443f4fa9b291,ASV44,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified,0.991273256
07a9057cdeadbb28a4ed067f1024109c,ASV45,k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Mucoraceae,0.702141036
07b483a4797d2713da0013eb34e103ce,ASV46,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified;s__unidentified,0.986850811
08122bf47137da5eec00a889e09cf141,ASV47,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified;g__unidentified;s__unidentified,0.991974437
081cea50c31e80ef718ca43e72c376b3,ASV48,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_oligospora,1
08c1cf726793d95e575bbd55a502fdd8,ASV49,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_brevicompactum,0.957884607
08c2d4e18e03fc7adec001f9053b833a,ASV50,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma,0.999999972
08ded74ad41acad0ff5b9bc499b3bded,ASV51,k__Fungi;p__Basidiomycota;c__Agaricomycetes,0.809505138
09016c345e70acd4e0e0edbf12cd8436,ASV52,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified,0.999319789
09139b7b39c05d77871ecaf58781d2aa,ASV53,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS05;f__unidentified;g__unidentified;s__unidentified,0.999892989
092da010f2726de71c033939a6037e03,ASV54,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Ascobolaceae,0.99999782
095342e6d01d8617ff8727401f684d54,ASV55,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified,0.838402345
09eee5a69aecfd322ff44fbeeb8b0c3c,ASV56,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__unidentified,0.86364358
